title,link
电厂阀门坑多多？选型、安装质量监督和运行操作经验教训,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488542&idx=4&sn=a90b5cde6cdc6d0abdbdb7fcce06acd9&chksm=ce7dd897f90a5181215501683fbfca0fc86c36b1df8cba418c280744d426f00a2bef5364e568#rd
【经验】汽轮机汽缸及导汽管螺栓紧力合格？教训：法兰接合面漏汽？,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488542&idx=5&sn=90af52af6d89e0a0aa48ffa076c53645&chksm=ce7dd897f90a518169ab3371bbb137628f3e2fcf27b51b1562878a0dd4557df192ce3f3bcbda#rd
电厂调节阀选型经验教训，你踩坑了？,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488542&idx=6&sn=4fc921b446e32d9e9597cd5757886c7a&chksm=ce7dd897f90a518185c64eecabb2ced99372fcf062a5d8149b66a0735af6137646644073b6fa#rd
管道膨胀经验教训！你家电厂管道安装冷拉值正确？,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488542&idx=7&sn=76fc49db04c61edfef05ded6b4a8dce5&chksm=ce7dd897f90a5181a32ef3d4d8142d4db536c45e8c4fcaeeaa3043432ace0378fdd3947c31f1#rd
电厂吹管临吹门的选型经验教训,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488542&idx=8&sn=3d88abe9085fbc3857c7e433efb1282b&chksm=ce7dd897f90a5181621f1c63c9da25dcc495ddd87030ce456a5ea0776b62b4e3c821c6a72e8c#rd
近期几起事故通报!!皮带输送机机械伤害致1死!!,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488540&idx=1&sn=8c69522144b56415cfb090aec8f25eb8&chksm=ce7dd895f90a5183e3fdc05f39e39261db0131b7e1735b2d1d44d09bdcbfc0b2967e8766cc6e#rd
关于电厂年度补充反事故技术措施（精华版）,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488540&idx=2&sn=7c40a6159c9737ec9357970ccca783c1&chksm=ce7dd895f90a518336ba79212ebb97763ec19c25b027a76bb6c19b7e6bebc0201f3ff88ea276#rd
国能台山电厂三期扩建2×1000MW超超临界燃煤机组项目来了，总投资72亿元,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488540&idx=3&sn=d3b1b77b45d8a5ffe2b8a01eba9a1e25&chksm=ce7dd895f90a51836b0869ffeb5a43d545af92ae86f7ea1896adacbe9ce67606167437b04358#rd
德媒：燃煤电厂正重返电力市场,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488540&idx=4&sn=a5ab8166a4f42e4224abaede273a5f62&chksm=ce7dd895f90a518308fe26b5621e9cb6c4abd289636e2759c4872acef1edee188cd128145882#rd
​2022年8月10日某电厂输煤故障导致无法上煤,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488538&idx=1&sn=7dade9fa53c41d6c59f80496138679f7&chksm=ce7dd893f90a5185e17e99b0cdd96642a2be5135ece550ba4698a114ddf75adf0f49ba8e8690#rd
下个月准备，考这一份卷！（有答案）,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488538&idx=2&sn=2be98e2c18b448609c11764a6d5ee1dc&chksm=ce7dd893f90a51859bb47f530c08ed46f118fe61e334917289a9ae96e5cb4d42473f1bd538a7#rd
关于某电厂“6．4”全厂停电及#2机烧轴瓦事故通报,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488538&idx=3&sn=37baaf485a07d22a16f47a9c4027beba&chksm=ce7dd893f90a518573f8fafda72abe6a821b7b6fb2a0cdf725822aa90a41375b74c542a626da#rd
电厂高压调门晃动及屡次断裂原因分析及处理,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488538&idx=4&sn=e3d23076cd4c43d7901ce6f6015d8cbb&chksm=ce7dd893f90a51852085bb8a7f7c9d3c53678706d7d3242d00360f5a5d554fd71bd7f2d8ff96#rd
​2022年8月10日某电厂输煤皮带故障导致无法上煤,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488533&idx=1&sn=a5c6f5bf539bd856ddb865675dc2fddf&chksm=ce7dd89cf90a518aebd1fdea9caf94ab1930bc5a3c017266f46b430ad4135a058578c5fc7bd9#rd
电厂动叶可调轴流式风机叶片断裂的原因分析,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488519&idx=1&sn=8a8bb3eb4e712d82d3aee01f9513e1ed&chksm=ce7dd88ef90a5198fb5e0a1edf85baa667cadccbd60b4e7ad3f57efd5fce4d208e0af36ffeb2#rd
火电厂锅炉水冷壁管氢腐蚀爆管分析,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488519&idx=2&sn=eed10f09d973f10513037d49b4f3ec62&chksm=ce7dd88ef90a5198a32a33533f37373b615d3370e62e2850272959f215240c69ce52dfb7cc0b#rd
关于240t锅炉水冷壁管腐蚀爆裂失效分析,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488519&idx=3&sn=040ad440b312bf8de7b91ef8ea248a47&chksm=ce7dd88ef90a51984ff46d2852ca3be16212bdfbeee2d1c27f66fd4ca3a585d8a1b86627e7fc#rd
关于某电厂机组启动检查漏项案例分析,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488519&idx=4&sn=9f65707b98ce5490f586d5f4444e9854&chksm=ce7dd88ef90a51988a29865409abbe44c467b369e1714e3b4f4ae1ff500472616f0efd7375c7#rd
经验哦！三起电厂高加泄漏案例分析,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488502&idx=1&sn=9d76daef91821761329f578b0b1e90c6&chksm=ce7ddf7ff90a56691813fac11488417204d8f5341967f3e785012a8d9e07538923430a6a6a9a#rd
抄吧！本月电厂集控运行试卷（A/B）答案,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488502&idx=2&sn=e163b25fc66619519f7e8bcd21edb04c&chksm=ce7ddf7ff90a566967af20059a9fc39539fdd471cdc5428ca093cffa1de23b00ab606e5a7e01#rd
某电厂汽门关闭不严导致机组跳闸后超速,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488502&idx=3&sn=02cde30a9450c7872768b4184da87408&chksm=ce7ddf7ff90a56691dff212580f154ba4670ad13e898fdaa25e6513184fc5174783eb24bf099#rd
关于电厂主汽门不严，先打闸还是先解列？,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488502&idx=4&sn=d7efcbeb2d63ab77584ad42518a5b606&chksm=ce7ddf7ff90a5669ae96e8251f8eb045989581d655face8e02fa76e2e5fbc215f0aa728bdaa6#rd
卖！卖！卖！又有5家电厂甩卖股权,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488488&idx=1&sn=906f1b4025831cd6318f5131d6b2ac88&chksm=ce7ddf61f90a56775ff2d0f8315efa0fd43308349c7b9bfbb39d39eee462f514d071c4d33240#rd
关于某热电厂流化床锅炉喷渣输渣皮带着火故调查报告(最终版),http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488488&idx=2&sn=34e0ed1323e9d64c4c973dd581e2d2fc&chksm=ce7ddf61f90a56773194144ce984360f73bb6905910ac4f4d9e1ad5000b8e91755e8df3e5eba#rd
嫩江盛烨热电“8.7”脱硫塔高处坠落事故调查报告,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488488&idx=3&sn=1f46d31f52ba00129bf4b05a849e9add&chksm=ce7ddf61f90a5677d5ca67c8db25f5da26e5c78abba2437f99be561dbfa43a2b538bab3f4fc6#rd
13家中国电建子公司领导班子大调整，超40名干部任免！,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488488&idx=4&sn=fc67ea9dbe7a6c3301c3bccd2ee74e2f&chksm=ce7ddf61f90a5677eaeadd00130332b2d8897e7aef680e92f82f0923379bae7a08409d6d9f79#rd
淮南中煤毛集电厂2台660MW项目核准前公示,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488488&idx=5&sn=93d18690c56e29838a9ca49426d59ce9&chksm=ce7ddf61f90a5677253b659e7fe41062ff522b440a4120b3d15257fd89eaba7a9793e1666fc7#rd
历年来汽轮机断油烧瓦事故案例分析汇总,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488485&idx=1&sn=df0fd5971cad31bedeb6d8303f6f810a&chksm=ce7ddf6cf90a567a38cda441ce5597fb80ef19e86f6ab6a35a1574a10730e3200728833fbdef#rd
一起汽轮机停机断油烧瓦事故的调查及处理,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488485&idx=2&sn=6d6bb936160d44a9e066ea29a95d40fe&chksm=ce7ddf6cf90a567aa76c85cb03435b72818b4b7d547efb7820c93eeb25b39de58c98120737d0#rd
跳闸设备自启动等诸多事件，造成汽轮机断油烧瓦,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488485&idx=3&sn=fcb9b9471385a377d4ad0af34df86441&chksm=ce7ddf6cf90a567a048de6a1ffc8da957aec3bce2d8a76dbb95a20b35d61764537b1b3d99291#rd
"【案例】全厂停电,汽轮机烧瓦：不及时消缺的后果",http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488485&idx=4&sn=ebc13f451a55c1cb4db7111ce2d90306&chksm=ce7ddf6cf90a567a5d6de5e1840120128926b915c23ec7e5e11022e7ad65959fce0878946619#rd
两起电厂汽轮机烧瓦事故案例，你学到什么？,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488485&idx=5&sn=d0038ffecfe05cb7c223822975225d3d&chksm=ce7ddf6cf90a567ac28202c05d32ba4571c35efdd94507b8ccef2f8358ccdb8dd481e175de0d#rd
店头电厂二期2×1000MW机组扩建项目喜获核准批复,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488474&idx=1&sn=670e68f118ff4201e947c03b5e18f08f&chksm=ce7ddf53f90a56455e0449753b793df8cc35ab763241f1640bc5cfb7e82d7b5565c2cc1e14ce#rd
电厂8号机组（600MW）锅炉低过及省煤器漏泄案例,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488474&idx=2&sn=9b1958cd3506002e8fa6dfb45f167123&chksm=ce7ddf53f90a564533bdb43a45bb0ca568ea461ca5ec3240840e1c782f16faf21839a98bda5a#rd
电厂1号机组（350MW）锅炉再热器漏泄案例,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488474&idx=3&sn=daf4f27d2a0a27624c0c45661b58cc91&chksm=ce7ddf53f90a5645f403add0ef36f7b9b2d3491e8e16a1f5f4e93149875b37a7fa208b2b70c8#rd
电厂1号机组（600MW）锅炉水位低三值MFT动作锅炉灭火案例,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488474&idx=4&sn=0c9c6bf1e074737487dbd5eac0f41160&chksm=ce7ddf53f90a5645a26c7a398d9c3d180c68c3fe67af9bd2ef89a96d515d34abdd56ca905bc4#rd
关于某热电厂高压室“8.20” 人身事故调查报告,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488465&idx=1&sn=fb7d2699578a90bc9bcbd5fffdec24b5&chksm=ce7ddf58f90a564e1933c4db11520e76eba4f07b03202a76a05eb3eea25abb1058ccac5356d0#rd
关于煤电！国家能源局最新表态来了！,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488465&idx=2&sn=0e20a45e9852ea2beabef1af59a0183f&chksm=ce7ddf58f90a564ea5f5290c41fcae5ddf87318890752f857c9092f9cd14329bce45e699803e#rd
关于“10.10” 脱硫脱硝改造项目物体打击重伤事故调查报告,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488465&idx=3&sn=4b90774631d851cabd720cbe013af3b2&chksm=ce7ddf58f90a564e3643181c3b2991bcf0ffe17cfd52eeb36134b9299385c9050fb9a6db88b0#rd
乌克兰30%的发电厂被摧毁！,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488465&idx=4&sn=021b7e30fee4240a33a23fb6d7dc0feb&chksm=ce7ddf58f90a564e433bbf904b9447d617345c92db9a9335559d72255c0e5dfadbde879a8893#rd
头条！重启开机！5年后，华能甘谷发电终于重启并网成功！曾经历减员300余人！“换东家”！,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488463&idx=1&sn=63c75cec526b7babfd1d440c30d2b9a6&chksm=ce7ddf46f90a5650b91e9e5b11bba4767666a922111b236db73d433e5e5e5d25243298580de2#rd
煤电供电煤耗下降至290克/千瓦时左右！《江苏省碳达峰实施方案》发布,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488463&idx=2&sn=2c2a46cc62e60e2aaf07978c31d23072&chksm=ce7ddf46f90a56509eb50e7d77f36c2c79293d2cbbd49d0c4893335dfbea92eb914baa212fec#rd
石门电厂机组非计划停运事件分析与对策,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488463&idx=3&sn=0dee867c6e374647a4fc8f89b8a3f8dd&chksm=ce7ddf46f90a5650295dd1332315bbb775c540fcc93e722edf6f31fd1b04c2973f753419564d#rd
600MW机组热控非停事件统计分析,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488463&idx=4&sn=55ca0a19a49caecced28090758d92831&chksm=ce7ddf46f90a565012c89e53c12bb98c5d81f1b8ddffbdc554cfb827fa9116edb83e0786c911#rd
一份不错的电力技术监督情况通报（核心内容）,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488460&idx=2&sn=28b37bb684fa415930f11c73404a50fb&chksm=ce7ddf45f90a5653c0e8291f2fc1b3b31e4edf93129d95fa6c685b803ae4c3f2cf219d2283d6#rd
2号机组励磁变高压侧短路事故,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488460&idx=3&sn=ec4feb249bb344c88f6b89008886b9ea&chksm=ce7ddf45f90a5653494da13e6f477baa91d51e8bada26acdb08e7ca1a5b2a330644ccdc8e896#rd
#3炉水冷壁爆管事故调查报告,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488460&idx=4&sn=bcab1704d239cd42fc34025dd25e8684&chksm=ce7ddf45f90a565364b176ba3c32976d57ab51d27a7756c6dcdf0f215e59a88a0530f8fff0be#rd
关于“10·7”触电人身伤亡事故的通报,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488458&idx=1&sn=aeefff77180a341b6e90f52e3f9b721f&chksm=ce7ddf43f90a565567f2dd35e915ebfaaff4df1b424ad099f9c7b575c19d7aff04086beaf426#rd
关于电厂#2机因励磁开关误跳闸停机事故调查报告,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488458&idx=2&sn=706aff613a7a821c0b4bd4df6dc7c491&chksm=ce7ddf43f90a56552caab2863fe6dfe44650e3ea21ff26131f67a019ff51b2661d55b3f1421d#rd
关于电厂#3发电机旋转整流装置短路烧损事故调查报告,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488458&idx=3&sn=bbb1565ce4204f358b049590fb2acb47&chksm=ce7ddf43f90a5655669bba7fd4bb4f10c728f93264211abe815e80f786695ccef2b2ba64b63d#rd
脱硫塔着火...隔着屏幕感受绝望!,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488458&idx=5&sn=92a9a5ee80b76e70c4f96915fb7de38c&chksm=ce7ddf43f90a565525b0f5dac9522c0cb14b05b556a0243018920fb105aef93ae1c1f3559b7a#rd
某电厂#3锅炉#1、#4角消防栓破裂事故通报,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488456&idx=1&sn=63d07f7594f0fdf4eef266d68a6275fc&chksm=ce7ddf41f90a565721b6ab6d0a08bb6bbbeec9d8cdb4013acff32e46da3a0a1bb21482d901a0#rd
电厂4号锅炉原煤仓清拱人身伤亡事故通报,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488456&idx=2&sn=797eebe02d7a76fd0543f44b426d65a9&chksm=ce7ddf41f90a5657c46a574a1df64ae3373251545dbe5c374312a4c70b45d13b3064e81844db#rd
关于#1机组励磁机转子绝缘损坏事故调查报告,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488456&idx=3&sn=ffc2b6a181f716ad9b6189ab502d96b1&chksm=ce7ddf41f90a5657d2c68a777a0457aacb7b8c7375e93f7e4212e262e256ffcf1758732d53d9#rd
关于电厂热机误操作事故通报,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488456&idx=4&sn=bf5f22c140a6fa6c2451718850b8f162&chksm=ce7ddf41f90a565714e156be76f27ef7f07eef8349444613e9fe64b115e99472f3e15f08aba1#rd
"2022年10月11日辽宁某热力公司突发大火,现场浓烟冲天",http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488454&idx=1&sn=c4e810d3ce8acbf4a7145152664cac16&chksm=ce7ddf4ff90a5659d7d999b16404406473cfda096e718cedb6fe2b232a83f1d6dbcdb98b1d47#rd
东方电气集团东方锅炉电站服务事业部总经理谭斌被查！,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488454&idx=2&sn=d71ab267840e7d3e6bc5e4f67bc9dd8b&chksm=ce7ddf4ff90a56598ba495b9318cfb19f212df21459afdaaf487b75d000b00243116f840c3d2#rd
单点保护隐患整改不彻底电厂非停！,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488454&idx=3&sn=15606614ced5a7f66775ebf598e7d0c3&chksm=ce7ddf4ff90a5659c418d22edf2c3fe2825688ca57350442629e8ae72e548442f8f7547a2b42#rd
川投2×700MW燃机项目获得核准,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488454&idx=4&sn=5a8b77c8a103f82b978ae189cf606bae&chksm=ce7ddf4ff90a56591bb92645c11f74c9118f03b4b444e690f1e833b558ccfadecb9aa54cb452#rd
突发！2022年10月12日江西某电厂输煤栈桥发生爆燃事故,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488452&idx=1&sn=be257b4c9e2eca95c26de37b916efb95&chksm=ce7ddf4df90a565bd743bbc40d4c194693862b82b4cd48733e99ed51c7c298e5b7f6000b818b#rd
"电厂输煤皮带着火,以包代管迟早大事!",http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488452&idx=2&sn=51976459fc81eee650dce2b44decf8bb&chksm=ce7ddf4df90a565beb1922c3148481f60baedc199d10317a2efa8786fdc8a9de55965afd01eb#rd
关于某热电厂烟道高处坠落案例分析报告,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488452&idx=3&sn=e1a3e21b2cc7f782acbfaeef0f5627d7&chksm=ce7ddf4df90a565ba9cec25b3fb791e4ce87b1aaa9f4948d4951ad4e7e1b642a7cf4ac943ce8#rd
【电厂必备】电厂锅炉炉膛检修电动升降平台,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488452&idx=5&sn=6ba0e41462e5a7a0a0dd69cc790aac1b&chksm=ce7ddf4df90a565b6f94bef369059b624d7192d920aef6eaa7fa16c9057d6b5c6de5cc02a822#rd
大唐公开点名处罚不良供应商！,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488450&idx=1&sn=e08474b9e07675a8a7fb73f1ac190158&chksm=ce7ddf4bf90a565de570c61ee3895c696c6e170e1fc9cb3be3b2443c36471438ca42102de60f#rd
电厂检修人员私自切换冷油器，机组跳闸！！,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488450&idx=2&sn=92b203570b226293ffd1cdea673b42ce&chksm=ce7ddf4bf90a565d62e25848e15359aec3070d37a9d75cb6c89fce4d1f7ab8340ee8366a807a#rd
汽轮机手动紧急停机按钮打闸回路优化改造,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488450&idx=3&sn=e1dd86135f5f4e966f8816f8cf98ae04&chksm=ce7ddf4bf90a565d778fd3559d5990dab5e11b9c68d6e7ba7febe5c579f83dc6829ee54b9aa5#rd
电厂旁路故障导致ETS跳闸案例分析,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488450&idx=4&sn=5f9f7346fa192f6d43e522078553e9c6&chksm=ce7ddf4bf90a565d6786f758ef299d351e0ca5b242b635017cfd41dfd6ec837d6fd0268e806b#rd
电厂4号机组炉顶过热器泄漏非停分析报告,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488448&idx=1&sn=2faaf18d5ab435aefdad47acebbea8bd&chksm=ce7ddf49f90a565fdf9051bedfa3fbb7c087bf02f3080390490dbaf81f72dac2aabbbb20edbd#rd
电厂主蒸汽管道温度套管断裂如何处理？,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488448&idx=2&sn=6ba3cc0bd3b1b80c42bcc1b843782006&chksm=ce7ddf49f90a565fd5763c2adfc17e66baa2d0655ee2cd4af05a59f700c8c71b8631914dd1ba#rd
电厂#9机失磁保护动作跳机事件分析报告,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488448&idx=3&sn=daaa8fc7638c6d1c44215d1c7028a02a&chksm=ce7ddf49f90a565ff572b96f89b4d17966f33fb24d073b33b924bad8001c1595b38975f8c5e2#rd
晋控电力总经理确定！,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488448&idx=4&sn=429fe555fda0347e13d5729401aee2f8&chksm=ce7ddf49f90a565fcacf2eb33440c430a02c19a1afec34ab59757f15d225c480ca13a8a2a31a#rd
突发！关于广东某电厂“9·21”人身伤亡事故情况通报,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488446&idx=1&sn=10c5e803d1315849ef2903110c177d02&chksm=ce7ddf37f90a56212380c74d866bbfccef9d89cb3a72564441ac737c8880f31a96fc93c18aa9#rd
屏式过热器发生超温爆管的原因分析和预防,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488446&idx=2&sn=8cb6a594f9f45a2042182b81f76ea85a&chksm=ce7ddf37f90a5621d5c205ba0126d789a6d9364c424ff09a5a6fd91bf10164884731b42714db#rd
江西上高2×1000MW清洁煤电三大主机招标,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488446&idx=3&sn=2220d4c466909bfa30aa03b5f34e1e2e&chksm=ce7ddf37f90a562170d5773b842ae4855d6b531b6639e6ad688a7c2827c4c2f420e098c27cae#rd
国信沙洲2×100万千瓦煤电项目最新进展！,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488446&idx=4&sn=67b941c82629d8dbdbfcc076b511fbc3&chksm=ce7ddf37f90a56215b19fbabe6ae3f925791f5617dbd25ad83978b8113469aa95a365f61499c#rd
关于某电厂#4机组次末级叶片失效断裂原因分析报告,http://mp.weixin.qq.com/s?__biz=Mzg2MzE4MjMxMA==&mid=2247488444&idx=1&sn=bfc23df5bd52995e94c5536adaec1f98&chksm=ce7ddf35f90a562359cc13861d4d9a04c813e630ddce962ca1961b65c8c9513372cdb2128b78#rd
